condition,model,planner,paired,episode,terrain_seed,food_seed,agent,alive,survived_s,eaten,dist_m,final_energy_kJ,mean_latency_s,trace_role
mock,mock,off,False,0,1337,777,Amber,1,240,5,265,457,0.0,off
mock,mock,off,False,0,1337,777,Cyan,1,240,5,284,798,0.0,off
mock,mock,off,False,1,42,778,Amber,1,240,6,252,677,0.0,off
mock,mock,off,False,1,42,778,Cyan,0,32,0,48,0,0.0,off
mock,mock,off,False,2,2718,779,Amber,1,240,5,250,578,0.0,off
mock,mock,off,False,2,2718,779,Cyan,1,240,5,262,753,0.0,off
mock,mock,off,False,3,9001,780,Amber,0,36,0,50,0,0.0,off
mock,mock,off,False,3,9001,780,Cyan,1,240,6,240,764,0.0,off
mock,mock,off,False,4,31415,781,Amber,1,240,5,252,431,0.0,off
mock,mock,off,False,4,31415,781,Cyan,0,32,0,48,0,0.0,off
mock,mock,off,False,5,1337,782,Amber,0,73,1,96,0,0.0,off
mock,mock,off,False,5,1337,782,Cyan,0,30,0,46,0,0.0,off
mock,mock,off,False,6,42,783,Amber,0,28,0,43,0,0.0,off
mock,mock,off,False,6,42,783,Cyan,0,27,0,41,0,0.0,off
mock,mock,off,False,7,2718,784,Amber,0,77,1,100,0,0.0,off
mock,mock,off,False,7,2718,784,Cyan,1,240,5,253,558,0.0,off
mock,mock,off,False,8,9001,785,Amber,0,29,0,43,0,0.0,off
mock,mock,off,False,8,9001,785,Cyan,1,240,6,270,763,0.0,off
mock,mock,off,False,9,31415,786,Amber,1,240,6,260,520,0.0,off
mock,mock,off,False,9,31415,786,Cyan,1,240,5,267,560,0.0,off
mock,mock,off,False,10,1337,787,Amber,1,240,4,283,188,0.0,off
mock,mock,off,False,10,1337,787,Cyan,0,37,0,57,0,0.0,off
mock,mock,off,False,11,42,788,Amber,1,240,5,247,543,0.0,off
mock,mock,off,False,11,42,788,Cyan,0,35,0,54,0,0.0,off
mock,mock,off,False,12,2718,789,Amber,1,240,6,267,564,0.0,off
mock,mock,off,False,12,2718,789,Cyan,1,240,5,255,760,0.0,off
mock,mock,off,False,13,9001,790,Amber,1,240,5,248,480,0.0,off
mock,mock,off,False,13,9001,790,Cyan,0,30,0,45,0,0.0,off
mock,mock,off,False,14,31415,791,Amber,1,240,5,249,527,0.0,off
mock,mock,off,False,14,31415,791,Cyan,0,33,0,49,0,0.0,off
