condition,model,planner,paired,episode,terrain_seed,food_seed,agent,alive,survived_s,eaten,dist_m,final_energy_kJ,mean_latency_s,trace_role
mock,mock,off,False,0,1337,777,Amber,1,240.0,5.0,266.0,279.0,0.0,off
mock,mock,off,False,0,1337,777,Cyan,1,240.0,5.0,265.0,549.0,0.0,off
mock,mock,off,False,1,1337,777,Amber,1,240.0,5.0,265.0,275.0,0.0,off
mock,mock,off,False,1,1337,777,Cyan,1,240.0,5.0,265.0,547.0,0.0,off
mock,mock,off,False,2,1337,777,Amber,1,240.0,5.0,265.0,276.0,0.0,off
mock,mock,off,False,2,1337,777,Cyan,1,240.0,5.0,263.0,557.0,0.0,off
mock,mock,off,False,3,1337,777,Amber,1,240.0,5.0,264.0,304.0,0.0,off
mock,mock,off,False,3,1337,777,Cyan,1,240.0,5.0,263.0,559.0,0.0,off
mock,mock,off,False,4,1337,777,Amber,1,240.0,5.0,265.0,276.0,0.0,off
mock,mock,off,False,4,1337,777,Cyan,1,240.0,5.0,265.0,546.0,0.0,off
mock,mock,off,False,5,1337,777,Amber,1,240.0,5.0,264.0,306.0,0.0,off
mock,mock,off,False,5,1337,777,Cyan,1,240.0,5.0,263.0,558.0,0.0,off
mock,mock,off,False,6,1337,777,Amber,1,240.0,5.0,266.0,278.0,0.0,off
mock,mock,off,False,6,1337,777,Cyan,1,240.0,5.0,263.0,556.0,0.0,off
mock,mock,off,False,7,1337,777,Amber,1,240.0,5.0,264.0,304.0,0.0,off
mock,mock,off,False,7,1337,777,Cyan,1,240.0,5.0,265.0,544.0,0.0,off
mock,mock,off,False,8,1337,777,Amber,1,240.0,5.0,264.0,306.0,0.0,off
mock,mock,off,False,8,1337,777,Cyan,1,240.0,5.0,267.0,564.0,0.0,off
mock,mock,off,False,9,1337,777,Amber,1,240.0,5.0,264.0,307.0,0.0,off
mock,mock,off,False,9,1337,777,Cyan,1,240.0,5.0,263.0,558.0,0.0,off
off,qwen3.5-122b,off,False,0,1337,777,Amber,1,240.0,3.0,236.0,558.0,3.21,off
off,qwen3.5-122b,off,False,0,1337,777,Cyan,0,148.0,1.0,246.0,0.0,4.65,off
off,qwen3.5-122b,off,False,1,1337,777,Amber,1,240.0,2.0,137.0,446.0,4.47,off
off,qwen3.5-122b,off,False,1,1337,777,Cyan,1,240.0,4.0,321.0,610.0,4.52,off
off,qwen3.5-122b,off,False,2,1337,777,Amber,1,240.0,2.0,145.0,455.0,1.92,off
off,qwen3.5-122b,off,False,2,1337,777,Cyan,0,28.0,0.0,48.0,0.0,3.58,off
off,qwen3.5-122b,off,False,3,1337,777,Amber,1,240.0,3.0,229.0,440.0,6.54,off
off,qwen3.5-122b,off,False,3,1337,777,Cyan,1,240.0,3.0,303.0,474.0,9.41,off
off,qwen3.5-122b,off,False,4,1337,777,Amber,0,104.0,1.0,139.0,0.0,4.3,off
off,qwen3.5-122b,off,False,4,1337,777,Cyan,0,32.0,0.0,51.0,0.0,4.88,off
off,qwen3.5-122b,off,False,5,1337,777,Amber,1,240.0,4.0,248.0,566.0,6.0,off
off,qwen3.5-122b,off,False,5,1337,777,Cyan,1,240.0,2.0,304.0,13.0,5.98,off
off,qwen3.5-122b,off,False,6,1337,777,Amber,1,240.0,4.0,273.0,773.0,4.29,off
off,qwen3.5-122b,off,False,6,1337,777,Cyan,0,152.0,1.0,255.0,0.0,5.49,off
off,qwen3.5-122b,off,False,7,1337,777,Amber,1,240.0,3.0,372.0,591.0,3.83,off
off,qwen3.5-122b,off,False,7,1337,777,Cyan,0,149.0,1.0,251.0,0.0,5.5,off
off,qwen3.5-122b,off,False,8,1337,777,Amber,1,240.0,2.0,135.0,481.0,4.88,off
off,qwen3.5-122b,off,False,8,1337,777,Cyan,0,206.0,2.0,346.0,0.0,5.73,off
off,qwen3.5-122b,off,False,9,1337,777,Amber,0,28.0,0.0,43.0,0.0,5.26,off
off,qwen3.5-122b,off,False,9,1337,777,Cyan,0,31.0,0.0,47.0,0.0,5.84,off
learned,qwen3.5-122b,learned,False,0,1337,777,Amber,1,240.0,2.0,47.0,715.0,5.16,learned
learned,qwen3.5-122b,learned,False,0,1337,777,Cyan,1,240.0,3.0,250.0,638.0,4.19,learned
learned,qwen3.5-122b,learned,False,1,1337,777,Amber,0,43.0,0.0,62.0,0.0,4.38,learned
learned,qwen3.5-122b,learned,False,1,1337,777,Cyan,1,240.0,2.0,145.0,493.0,2.25,learned
learned,qwen3.5-122b,learned,False,2,1337,777,Amber,1,240.0,3.0,168.0,796.0,5.28,learned
learned,qwen3.5-122b,learned,False,2,1337,777,Cyan,1,240.0,2.0,126.0,476.0,5.36,learned
learned,qwen3.5-122b,learned,False,3,1337,777,Amber,1,240.0,3.0,135.0,789.0,3.8,learned
learned,qwen3.5-122b,learned,False,3,1337,777,Cyan,1,240.0,3.0,244.0,598.0,3.79,learned
learned,qwen3.5-122b,learned,False,4,1337,777,Amber,1,240.0,2.0,139.0,450.0,4.99,learned
learned,qwen3.5-122b,learned,False,4,1337,777,Cyan,1,240.0,3.0,235.0,620.0,4.97,learned
learned,qwen3.5-122b,learned,False,5,1337,777,Amber,1,240.0,3.0,135.0,783.0,5.63,learned
learned,qwen3.5-122b,learned,False,5,1337,777,Cyan,1,240.0,3.0,273.0,651.0,5.54,learned
learned,qwen3.5-122b,learned,False,6,1337,777,Amber,0,31.0,0.0,38.0,0.0,4.26,learned
learned,qwen3.5-122b,learned,False,6,1337,777,Cyan,1,240.0,3.0,256.0,678.0,4.0,learned
learned,qwen3.5-122b,learned,False,7,1337,777,Amber,0,31.0,0.0,38.0,0.0,4.53,learned
learned,qwen3.5-122b,learned,False,7,1337,777,Cyan,1,240.0,2.0,118.0,650.0,2.68,learned
learned,qwen3.5-122b,learned,False,8,1337,777,Amber,1,240.0,2.0,153.0,397.0,4.96,learned
learned,qwen3.5-122b,learned,False,8,1337,777,Cyan,1,240.0,2.0,96.0,686.0,5.04,learned
learned,qwen3.5-122b,learned,False,9,1337,777,Amber,1,240.0,3.0,201.0,653.0,4.79,learned
learned,qwen3.5-122b,learned,False,9,1337,777,Cyan,1,240.0,2.0,134.0,505.0,5.4,learned
analytic,qwen3.5-122b,analytic,False,0,1337,777,Amber,0,22.0,0.0,40.0,0.0,4.06,analytic
analytic,qwen3.5-122b,analytic,False,0,1337,777,Cyan,1,240.0,3.0,222.0,579.0,1.95,analytic
analytic,qwen3.5-122b,analytic,False,1,1337,777,Amber,0,24.0,0.0,43.0,0.0,4.39,analytic
analytic,qwen3.5-122b,analytic,False,1,1337,777,Cyan,1,240.0,3.0,310.0,487.0,2.27,analytic
analytic,qwen3.5-122b,analytic,False,2,1337,777,Amber,0,45.0,0.0,77.0,0.0,4.27,analytic
analytic,qwen3.5-122b,analytic,False,2,1337,777,Cyan,1,240.0,2.0,132.0,472.0,2.41,analytic
analytic,qwen3.5-122b,analytic,False,3,1337,777,Amber,1,240.0,4.0,373.0,577.0,4.42,analytic
analytic,qwen3.5-122b,analytic,False,3,1337,777,Cyan,1,240.0,2.0,160.0,423.0,4.4,analytic
analytic,qwen3.5-122b,analytic,False,4,1337,777,Amber,0,24.0,0.0,41.0,0.0,4.37,analytic
analytic,qwen3.5-122b,analytic,False,4,1337,777,Cyan,1,240.0,4.0,334.0,624.0,2.01,analytic
analytic,qwen3.5-122b,analytic,False,5,1337,777,Amber,0,23.0,0.0,41.0,0.0,4.55,analytic
analytic,qwen3.5-122b,analytic,False,5,1337,777,Cyan,0,30.0,0.0,52.0,0.0,4.92,analytic
analytic,qwen3.5-122b,analytic,False,6,1337,777,Amber,0,25.0,0.0,44.0,0.0,5.01,analytic
analytic,qwen3.5-122b,analytic,False,6,1337,777,Cyan,0,31.0,0.0,45.0,0.0,5.17,analytic
analytic,qwen3.5-122b,analytic,False,7,1337,777,Amber,1,240.0,3.0,271.0,469.0,2.68,analytic
analytic,qwen3.5-122b,analytic,False,7,1337,777,Cyan,0,37.0,0.0,64.0,0.0,5.04,analytic
analytic,qwen3.5-122b,analytic,False,8,1337,777,Amber,0,23.0,0.0,42.0,0.0,4.57,analytic
analytic,qwen3.5-122b,analytic,False,8,1337,777,Cyan,0,36.0,0.0,61.0,0.0,4.17,analytic
analytic,qwen3.5-122b,analytic,False,9,1337,777,Amber,1,240.0,3.0,156.0,760.0,2.74,analytic
