condition,model,planner,paired,episode,terrain_seed,food_seed,agent,alive,survived_s,eaten,dist_m,final_energy_kJ,mean_latency_s,trace_role
mock,mock,off,False,0,1337,777,Amber,1,240.0,5.0,265.0,457.0,0.0,off
mock,mock,off,False,0,1337,777,Cyan,1,240.0,5.0,284.0,798.0,0.0,off
mock,mock,off,False,1,42,778,Amber,1,240.0,6.0,252.0,677.0,0.0,off
mock,mock,off,False,1,42,778,Cyan,0,32.0,0.0,48.0,0.0,0.0,off
mock,mock,off,False,2,2718,779,Amber,1,240.0,5.0,250.0,578.0,0.0,off
mock,mock,off,False,2,2718,779,Cyan,1,240.0,5.0,262.0,753.0,0.0,off
mock,mock,off,False,3,9001,780,Amber,0,36.0,0.0,50.0,0.0,0.0,off
mock,mock,off,False,3,9001,780,Cyan,1,240.0,6.0,240.0,764.0,0.0,off
mock,mock,off,False,4,31415,781,Amber,1,240.0,5.0,252.0,431.0,0.0,off
mock,mock,off,False,4,31415,781,Cyan,0,32.0,0.0,48.0,0.0,0.0,off
mock,mock,off,False,5,1337,782,Amber,0,73.0,1.0,96.0,0.0,0.0,off
mock,mock,off,False,5,1337,782,Cyan,0,30.0,0.0,46.0,0.0,0.0,off
mock,mock,off,False,6,42,783,Amber,0,28.0,0.0,43.0,0.0,0.0,off
mock,mock,off,False,6,42,783,Cyan,0,27.0,0.0,41.0,0.0,0.0,off
mock,mock,off,False,7,2718,784,Amber,0,77.0,1.0,100.0,0.0,0.0,off
mock,mock,off,False,7,2718,784,Cyan,1,240.0,5.0,253.0,558.0,0.0,off
mock,mock,off,False,8,9001,785,Amber,0,29.0,0.0,43.0,0.0,0.0,off
mock,mock,off,False,8,9001,785,Cyan,1,240.0,6.0,270.0,763.0,0.0,off
mock,mock,off,False,9,31415,786,Amber,1,240.0,6.0,260.0,520.0,0.0,off
mock,mock,off,False,9,31415,786,Cyan,1,240.0,5.0,267.0,560.0,0.0,off
mock,mock,off,False,10,1337,787,Amber,1,240.0,4.0,283.0,188.0,0.0,off
mock,mock,off,False,10,1337,787,Cyan,0,37.0,0.0,57.0,0.0,0.0,off
mock,mock,off,False,11,42,788,Amber,1,240.0,5.0,247.0,543.0,0.0,off
mock,mock,off,False,11,42,788,Cyan,0,35.0,0.0,54.0,0.0,0.0,off
mock,mock,off,False,12,2718,789,Amber,1,240.0,6.0,267.0,564.0,0.0,off
mock,mock,off,False,12,2718,789,Cyan,1,240.0,5.0,255.0,760.0,0.0,off
mock,mock,off,False,13,9001,790,Amber,1,240.0,5.0,248.0,480.0,0.0,off
mock,mock,off,False,13,9001,790,Cyan,0,30.0,0.0,45.0,0.0,0.0,off
mock,mock,off,False,14,31415,791,Amber,1,240.0,5.0,249.0,527.0,0.0,off
mock,mock,off,False,14,31415,791,Cyan,0,33.0,0.0,49.0,0.0,0.0,off
off,qwen3.5-122b,off,False,0,1337,777,Amber,1,240.0,3.0,229.0,571.0,3.25,off
off,qwen3.5-122b,off,False,0,1337,777,Cyan,0,31.0,0.0,49.0,0.0,3.48,off
off,qwen3.5-122b,off,False,1,42,778,Amber,0,77.0,1.0,109.0,0.0,2.69,off
off,qwen3.5-122b,off,False,1,42,778,Cyan,0,30.0,0.0,50.0,0.0,3.5,off
off,qwen3.5-122b,off,False,2,2718,779,Amber,0,66.0,1.0,107.0,0.0,3.97,off
off,qwen3.5-122b,off,False,2,2718,779,Cyan,0,76.0,1.0,136.0,0.0,4.01,off
off,qwen3.5-122b,off,False,3,9001,780,Amber,0,27.0,0.0,46.0,0.0,3.95,off
off,qwen3.5-122b,off,False,3,9001,780,Cyan,0,35.0,0.0,56.0,0.0,3.66,off
off,qwen3.5-122b,off,False,4,31415,781,Amber,1,240.0,5.0,382.0,790.0,2.71,off
off,qwen3.5-122b,off,False,4,31415,781,Cyan,0,50.0,0.0,87.0,0.0,3.97,off
off,qwen3.5-122b,off,False,5,1337,782,Amber,1,240.0,2.0,117.0,489.0,2.12,off
off,qwen3.5-122b,off,False,5,1337,782,Cyan,0,38.0,0.0,55.0,0.0,3.84,off
off,qwen3.5-122b,off,False,6,42,783,Amber,0,33.0,0.0,44.0,0.0,4.52,off
off,qwen3.5-122b,off,False,6,42,783,Cyan,0,29.0,0.0,45.0,0.0,4.12,off
off,qwen3.5-122b,off,False,7,2718,784,Amber,0,34.0,0.0,52.0,0.0,4.11,off
off,qwen3.5-122b,off,False,7,2718,784,Cyan,1,240.0,3.0,169.0,724.0,4.18,off
off,qwen3.5-122b,off,False,8,9001,785,Amber,1,240.0,3.0,162.0,532.0,2.67,off
off,qwen3.5-122b,off,False,8,9001,785,Cyan,0,30.0,0.0,49.0,0.0,4.17,off
off,qwen3.5-122b,off,False,9,31415,786,Amber,1,240.0,3.0,150.0,508.0,2.7,off
off,qwen3.5-122b,off,False,9,31415,786,Cyan,0,31.0,0.0,47.0,0.0,3.33,off
off,qwen3.5-122b,off,False,10,1337,787,Amber,0,40.0,0.0,47.0,0.0,4.09,off
off,qwen3.5-122b,off,False,10,1337,787,Cyan,1,240.0,3.0,175.0,731.0,2.6,off
off,qwen3.5-122b,off,False,11,42,788,Amber,1,240.0,4.0,265.0,477.0,2.8,off
off,qwen3.5-122b,off,False,11,42,788,Cyan,0,32.0,0.0,51.0,0.0,4.15,off
off,qwen3.5-122b,off,False,12,2718,789,Amber,1,240.0,4.0,341.0,431.0,3.05,off
off,qwen3.5-122b,off,False,12,2718,789,Cyan,0,34.0,0.0,47.0,0.0,4.22,off
off,qwen3.5-122b,off,False,13,9001,790,Amber,1,240.0,2.0,102.0,456.0,2.95,off
off,qwen3.5-122b,off,False,13,9001,790,Cyan,0,38.0,0.0,65.0,0.0,3.98,off
off,qwen3.5-122b,off,False,14,31415,791,Amber,0,38.0,0.0,55.0,0.0,3.63,off
off,qwen3.5-122b,off,False,14,31415,791,Cyan,1,240.0,3.0,205.0,493.0,2.65,off
learned,qwen3.5-122b,learned,False,0,1337,777,Amber,1,240.0,3.0,244.0,500.0,4.65,learned
learned,qwen3.5-122b,learned,False,0,1337,777,Cyan,1,240.0,3.0,259.0,591.0,4.69,learned
learned,qwen3.5-122b,learned,False,1,42,778,Amber,1,240.0,3.0,155.0,732.0,2.61,learned
learned,qwen3.5-122b,learned,False,1,42,778,Cyan,0,60.0,0.0,73.0,0.0,4.06,learned
learned,qwen3.5-122b,learned,False,2,2718,779,Amber,1,240.0,2.0,93.0,654.0,2.58,learned
learned,qwen3.5-122b,learned,False,2,2718,779,Cyan,0,47.0,0.0,56.0,0.0,3.72,learned
learned,qwen3.5-122b,learned,False,3,9001,780,Amber,0,30.0,0.0,52.0,0.0,3.72,learned
learned,qwen3.5-122b,learned,False,3,9001,780,Cyan,0,27.0,0.0,41.0,0.0,3.91,learned
learned,qwen3.5-122b,learned,False,4,31415,781,Amber,0,95.0,1.0,138.0,0.0,2.69,learned
learned,qwen3.5-122b,learned,False,4,31415,781,Cyan,0,31.0,0.0,50.0,0.0,3.7,learned
learned,qwen3.5-122b,learned,False,5,1337,782,Amber,0,102.0,1.0,122.0,0.0,5.94,learned
learned,qwen3.5-122b,learned,False,5,1337,782,Cyan,1,240.0,3.0,263.0,455.0,3.82,learned
learned,qwen3.5-122b,learned,False,6,42,783,Amber,0,45.0,0.0,52.0,0.0,3.62,learned
learned,qwen3.5-122b,learned,False,6,42,783,Cyan,0,61.0,0.0,60.0,0.0,3.47,learned
learned,qwen3.5-122b,learned,False,7,2718,784,Amber,1,240.0,1.0,43.0,475.0,2.48,learned
learned,qwen3.5-122b,learned,False,7,2718,784,Cyan,0,86.0,0.0,34.0,0.0,5.2,learned
learned,qwen3.5-122b,learned,False,8,9001,785,Amber,0,36.0,0.0,51.0,0.0,4.01,learned
